165	MR HuyCuong90	142064520	1601541917	7948800
166	Mjølner	140606629	1016513765	15955373
167	RoryWest	140419815	1102490741	9186814
168	RusVikingGirl	140368659	2390405538	6879983
169	Cros	139822234	748457557	39588040
170	QuangChau	138715165	1266442079	33850423
171	Boroda 40 Rus	137629055	423556249	50077577
172	Death Note	137344476	874678094	32996808
173	Witch	136122969	3042327556	6330160
174	KanaeL	135924260	715582971	51975024
175	[ambiguous-I/l]	135561707	639994167	7003728
176	Bối Bối	135109715	774821264	8522604
177	Simona	134372727	5573571934	4569325
178	Naineti	133557548	1068358469	88834795
179	Foggenshmidt	132638684	1037718621	26598279
180	ENèM	132614723	3152129447	53758862
181	RAIJIN	132498639	7363540854	4920208
182	D R A G 0 N	132447337	2605303261	57934029
183	Katrin195	132096662	400950732	7489514
184	[ambiguous-I/l]	131911197	359507880	7178975
185	KaRaSu	130634648	1708647568	81678515
186	Ømer 幺	130195127	1414013304	5396138
187	CinouDZ	130165916	335458690	3621801
188	[ambiguous-I/l]	129616108	1906724178	18429288
189	Юлла	128843211	480312926	21940648
190	Пуша	127669993	2117673413	4974775
191	Viking knights	127214512	1754240303	51119181
192	Anton152	124536885	554463604	36293800
193	Surgeon OfDeath	124515336	3040026504	9019052
194	ĐaVoRa	124366587	800587464	7454671
195	Macabeyi	123645149	3335424041	8344174
196	Layla	123368195	1218387707	6850550
197	Cold Blood	123352746	1304798907	5577865
198	Sexy TOMMY	123352539	841214683	14658423
199	kwitchypoo	123069336	1088413232	7095131
200	Деонисс	122524276	700738702	49822796
201	xxx KABUTO xxx	122196730	810759449	50091358
202	Rebel Valkyrie	121705367	2543647477	5120900
203	NET SOE DJSTAR	121565175	1269010269	11651185
204	helse	116314455	5177065564	18634921
205	Legion XI	114717595	378735482	6308622
206	Lucid Dream	113683269	2687001763	15471172
207	Leader392837282	110789684	1112113812	73676157
208	Джамбо123	110619860	240030895	6336866
209	Avendor	109902827	342114315	7303485
210	Zvyagovna	109727638	677388034	14466598
211	Mqmr	108699114	3928600101	4873018
212	iLove350	106366607	1408080338	9172588
213	kira21	101576929	434372463	7115662
214	PrincessSunless	95779645	302203366	14314166
215	FEiiN	94257714	316783170	1455500
216	Legion V	91723235	242290816	5807795
217	SEXY COOKIE	88520484	337500892	6218769
218	Legion IV	88440862	158424507	5835993
219	Legion II	85284192	174876390	6170657
220	Баночка	85146101	110779611	16219833
221	Legion VI	83506540	197238323	6707890
222	Legion VII	81585311	158051518	3130800
223	Legion VIII	68084500	96685162	6822172
224	Крез	65796486	61408972	6269311
225	Veterok116	63631919	71284862	6761276
226	Legion I	56548233	97267069	6446035
227	Legion X	56179771	54092935	6488039
228	легион4	53898602	95368497	5632015
229	Legion VIIII	49749161	162374326	6474512
230	Legion III	43454468	25976835	2591700
231	Anton152f	22515605	117384	320800
